 CodUsina  ,  Usina         ,  Sistema      ,CAG
156,  TRES MARIAS   ,  1 - Sudeste  ,NAO
162,  QUEIMADO      ,  1 - Sudeste  ,NAO
169,  SOBRADINHO    ,  3 - Nordeste ,NAO
172,  ITAPARICA     ,  3 - Nordeste ,NAO
173,  MOXOTO        ,  3 - Nordeste ,NAO
174,  P.AFONSO 123  ,  3 - Nordeste ,NAO
175,  P.AFONSO 4    ,  3 - Nordeste ,NAO
176,  COMP PAF-MOX  ,  3 - Nordeste ,NAO
178,  XINGO         ,  3 - Nordeste ,NAO
180,  TOCOS         ,  1 - Sudeste  ,NAO
181,  SANTANA       ,  1 - Sudeste  ,NAO
182,  VIGARIO       ,  1 - Sudeste  ,NAO
183,  FONTES A      ,  1 - Sudeste  ,NAO
184,  FONTES BC     ,  1 - Sudeste  ,NAO
186,  ITAOCARA I    ,  1 - Sudeste  ,NAO
189,  P. CAVALO     ,  3 - Nordeste ,NAO
190,  B. ESPERANCA  ,  3 - Nordeste ,NAO
192,  GUILMAN-AMOR  ,  1 - Sudeste  ,NAO
193,  SA CARVALHO   ,  1 - Sudeste  ,NAO
194,  TRAIRA II     ,  1 - Sudeste  ,NAO
195,  JAURU         ,  1 - Sudeste  ,NAO
196,  GUAPORE       ,  1 - Sudeste  ,NAO
203,  CORUMBA III   ,  1 - Sudeste  ,NAO
204,  CACH.CALDEIR  ,  4 - Norte    ,NAO
215,  SALTO PILAO   ,  2 - Sul      ,NAO
216,  CUBATAO       ,  2 - Sul      ,NAO
217,  ROSAL         ,  1 - Sudeste  ,NAO
225,  SLT APIACAS   ,  1 - Sudeste  ,NAO
227,  SINOP         ,  1 - Sudeste  ,NAO
228,  COLIDER       ,  1 - Sudeste  ,NAO
229,  TELES PIRES   ,  1 - Sudeste  ,NAO
230,  SAO MANOEL    ,  1 - Sudeste  ,NAO
241,  SLT VERDINHO  ,  1 - Sudeste  ,NAO
249,  OURINHOS      ,  1 - Sudeste  ,NAO
251,  SERRA MESA    ,  1 - Sudeste  ,NAO
252,  CANA BRAVA    ,  1 - Sudeste  ,NAO
253,  SAO SALVADOR  ,  1 - Sudeste  ,NAO
257,  PEIXE ANGIC   ,  1 - Sudeste  ,SIM
261,  LAJEADO       ,  1 - Sudeste  ,SIM
262,  SALTO         ,  1 - Sudeste  ,NAO
