 ICUT ,TP.ENTID,ID.ENT,   NomeEntid   ,TP.COEF,ILAG ,IPAT ,     Val.Coef      ,      Unid      
28, USIH   ,312, B. COQUEIROS  , VARM  ,0,1,-87.031, (1000$/hm3)    
28, USIH   ,315, FOZ R. CLARO  , VARM  ,0,1,-87.365, (1000$/hm3)    
28, USIH   ,21, SERRA FACAO   , VARM  ,0,1,-304.501, (1000$/hm3)    
28, USIH   ,290, ESPORA        , VARM  ,0,1,-87.412, (1000$/hm3)    
28, USIH   ,101, SAO JOSE      , VARM  ,0,1,-27.734, (1000$/hm3)    
28, USIH   ,276, RONDON II     , VARM  ,0,1,-1.225, (1000$/hm3)    
28, USIH   ,102, PASSO S JOAO  , VARM  ,0,1,-15.704, (1000$/hm3)    
28, USIH   ,277, BALBINA       , VARM  ,0,1,-12.137, (1000$/hm3)    
28, USIH   ,285, JIRAU         , VARM  ,0,1,2.836, (1000$/hm3)    
28, USIH   ,286, STO ANT JARI  , VARM  ,0,1,0, (1000$/hm3)    
28, USIH   ,284, FERREIRA GOM  , VARM  ,0,1,0, (1000$/hm3)    
28, USIH   ,229, TELES PIRES   , VARM  ,0,1,0, (1000$/hm3)    
28, USIH   ,192, GUILMAN-AMOR  , VARM  ,0,1,-83.631, (1000$/hm3)    
28, USIH   ,230, SAO MANOEL    , VARM  ,0,1,0, (1000$/hm3)    
28, USIH   ,288, BELO MONTE    , VARM  ,0,1,0, (1000$/hm3)    
28, USIH   ,314, PIMENTAL      , VARM  ,0,1,0, (1000$/hm3)    
28, USIHTV ,156, TRES MARIAS   , QDEFP ,1,1,-141.347, (1000$/hm3)    
28, USIHTV ,156, TRES MARIAS   , QDEFP ,2,1,-141.347, (1000$/hm3)    
28, USIHTV ,156, TRES MARIAS   , QDEFP ,3,1,0, (1000$/hm3)    
28, USIHTV ,162, QUEIMADO      , QDEFP ,1,1,-141.175, (1000$/hm3)    
28, USIHTV ,162, QUEIMADO      , QDEFP ,2,1,-141.175, (1000$/hm3)    
28, USIHTV ,162, QUEIMADO      , QDEFP ,3,1,0, (1000$/hm3)    
28, SIST   ,1, SE            , GTERF ,2,1,0, (1000$/MWh)    
28, SIST   ,1, SE            , GTERF ,2,2,0, (1000$/MWh)    
28, SIST   ,1, SE            , GTERF ,2,3,0, (1000$/MWh)    
29, USIH   ,38, A.S. LIMA     , VARM  ,0,1,-506.048, (1000$/hm3)    
29, USIH   ,39, IBITINGA      , VARM  ,0,1,-467.631, (1000$/hm3)    
29, USIH   ,62, TAQUARUCU     , VARM  ,0,1,-265.344, (1000$/hm3)    
29, USIH   ,63, ROSANA        , VARM  ,0,1,-222.549, (1000$/hm3)    
29, USIH   ,52, CANOAS I      , VARM  ,0,1,-361.163, (1000$/hm3)    
29, USIH   ,51, CANOAS II     , VARM  ,0,1,-384.365, (1000$/hm3)    
29, USIH   ,47, A.A. LAYDNER  , VARM  ,0,1,-614.273, (1000$/hm3)    
29, USIH   ,49, CHAVANTES     , VARM  ,0,1,-531.938, (1000$/hm3)    
29, USIH   ,61, CAPIVARA      , VARM  ,0,1,-335.051, (1000$/hm3)    
29, USIH   ,50, L.N. GARCEZ   , VARM  ,0,1,-393, (1000$/hm3)    
29, USIH   ,45, JUPIA         , VARM  ,0,1,-259.344, (1000$/hm3)    
29, USIH   ,44, I. SOLT. EQV  , VARM  ,0,1,-336.616, (1000$/hm3)    
29, USIH   ,46, P. PRIMAVERA  , VARM  ,0,1,-220.204, (1000$/hm3)    
29, USIH   ,120, JAGUARI       , VARM  ,0,1,-693.404, (1000$/hm3)    
29, USIH   ,121, PARAIBUNA     , VARM  ,0,1,-885.777, (1000$/hm3)    
29, USIH   ,6, FURNAS        , VARM  ,0,1,-965.577, (1000$/hm3)    
29, USIH   ,7, M. DE MORAES  , VARM  ,0,1,-834.363, (1000$/hm3)    
29, USIH   ,8, ESTREITO      , VARM  ,0,1,-770.712, (1000$/hm3)    
29, USIH   ,12, P. COLOMBIA   , VARM  ,0,1,-536.145, (1000$/hm3)    
29, USIH   ,17, MARIMBONDO    , VARM  ,0,1,-503.418, (1000$/hm3)    
29, USIH   ,31, ITUMBIARA     , VARM  ,0,1,-611.85, (1000$/hm3)    
29, USIH   ,30, CORUMBA I     , VARM  ,0,1,-721.051, (1000$/hm3)    
29, USIH   ,251, SERRA MESA    , VARM  ,0,1,-453.648, (1000$/hm3)    
29, USIH   ,278, MANSO         , VARM  ,0,1,-94.763, (1000$/hm3)    
29, USIH   ,123, FUNIL         , VARM  ,0,1,-693.501, (1000$/hm3)    
29, USIH   ,129, SIMPLICIO     , VARM  ,0,1,-232.959, (1000$/hm3)    
29, USIH   ,20, BATALHA       , VARM  ,0,1,-931.909, (1000$/hm3)    
29, USIH   ,287, STO ANTONIO   , VARM  ,0,1,-31.29, (1000$/hm3)    
29, USIH   ,257, PEIXE ANGIC   , VARM  ,0,1,-261.188, (1000$/hm3)    
29, USIH   ,122, SANTA BRANCA  , VARM  ,0,1,-756.649, (1000$/hm3)    
29, USIH   ,124, LAJES         , VARM  ,0,1,-495.852, (1000$/hm3)    
29, USIH   ,130, ILHA POMBOS   , VARM  ,0,1,-47.001, (1000$/hm3)    
29, USIH   ,131, NILO PECANHA  , VARM  ,0,1,-725.406, (1000$/hm3)    
29, USIH   ,133, P. PASSOS     , VARM  ,0,1,-215.557, (1000$/hm3)    
29, USIH   ,125, STA CECILIA   , VARM  ,0,1,-601.48, (1000$/hm3)    
29, USIH   ,180, TOCOS         , VARM  ,0,1,-495.852, (1000$/hm3)    
29, USIH   ,181, SANTANA       , VARM  ,0,1,-640.207, (1000$/hm3)    
29, USIH   ,182, VIGARIO       , VARM  ,0,1,-725.406, (1000$/hm3)    
29, USIH   ,183, FONTES A      , VARM  ,0,1,-716.085, (1000$/hm3)    
29, USIH   ,184, FONTES BC     , VARM  ,0,1,-716.085, (1000$/hm3)    
29, USIH   ,107, EDGARD SOUZA  , VARM  ,0,1,-538.338, (1000$/hm3)    
29, USIH   ,108, TRAICAO       , VARM  ,0,1,-540.576, (1000$/hm3)    
29, USIH   ,109, PEDREIRA      , VARM  ,0,1,-986.17, (1000$/hm3)    
29, USIH   ,117, GUARAPIRANGA  , VARM  ,0,1,-984.927, (1000$/hm3)    
29, USIH   ,118, BILLINGS      , VARM  ,0,1,-986.153, (1000$/hm3)    
29, USIH   ,119, HENRY BORDEN  , VARM  ,0,1,-722135.59, (1000$/hm3)    
29, USIH   ,32, CACH.DOURADA  , VARM  ,0,1,-503.84, (1000$/hm3)    
29, USIH   ,135, P. ESTRELA    , VARM  ,0,1,-220.961, (1000$/hm3)    
29, USIH   ,139, CANDONGA      , VARM  ,0,1,-126.37, (1000$/hm3)    
29, USIH   ,262, SALTO         , VARM  ,0,1,-495.827, (1000$/hm3)    
29, USIH   ,89, GARIBALDI     , VARM  ,0,1,-836.884, (1000$/hm3)    
29, USIH   ,144, MASCARENHAS   , VARM  ,0,1,-40.06, (1000$/hm3)    
29, USIH   ,66, ITAIPU        , VARM  ,0,1,-191.954, (1000$/hm3)    
29, USIH   ,110, ERNESTINA     , VARM  ,0,1,-421.201, (1000$/hm3)    
29, USIH   ,111, PASSO REAL    , VARM  ,0,1,-421.756, (1000$/hm3)    
29, USIH   ,112, JACUI         , VARM  ,0,1,-350.626, (1000$/hm3)    
29, USIH   ,113, ITAUBA        , VARM  ,0,1,-225.208, (1000$/hm3)    
29, USIH   ,114, D. FRANCISCA  , VARM  ,0,1,-65.009, (1000$/hm3)    
29, USIH   ,74, G.B. MUNHOZ   , VARM  ,0,1,-793.502, (1000$/hm3)    
29, USIH   ,76, SEGREDO       , VARM  ,0,1,-603.515, (1000$/hm3)    
29, USIH   ,82, SALTO CAXIAS  , VARM  ,0,1,-115.477, (1000$/hm3)    
29, USIH   ,115, G.P. SOUZA    , VARM  ,0,1,-1247.839, (1000$/hm3)    
29, USIH   ,73, JORDAO        , VARM  ,0,1,-601.106, (1000$/hm3)    
29, USIH   ,71, STA CLARA PR  , VARM  ,0,1,-906.282, (1000$/hm3)    
29, USIH   ,72, FUNDAO        , VARM  ,0,1,-761.667, (1000$/hm3)    
29, USIH   ,57, MAUA          , VARM  ,0,1,-530.043, (1000$/hm3)    
29, USIH   ,77, SLT.SANTIAGO  , VARM  ,0,1,-404.634, (1000$/hm3)    
29, USIH   ,78, SALTO OSORIO  , VARM  ,0,1,-238.571, (1000$/hm3)    
29, USIH   ,93, PASSO FUNDO   , VARM  ,0,1,-570.161, (1000$/hm3)    
29, USIH   ,91, MACHADINHO    , VARM  ,0,1,-443.163, (1000$/hm3)    
29, USIH   ,92, ITA           , VARM  ,0,1,-272.17, (1000$/hm3)    
29, USIH   ,252, CANA BRAVA    , VARM  ,0,1,-381.797, (1000$/hm3)    
29, USIH   ,253, SAO SALVADOR  , VARM  ,0,1,-302.131, (1000$/hm3)    
29, USIH   ,267, ESTREITO TOC  , VARM  ,0,1,-145.464, (1000$/hm3)    
29, USIH   ,281, PONTE PEDRA   , VARM  ,0,1,0, (1000$/hm3)    
29, USIH   ,86, BARRA GRANDE  , VARM  ,0,1,-689.959, (1000$/hm3)    
29, USIH   ,90, CAMPOS NOVOS  , VARM  ,0,1,-759.228, (1000$/hm3)    
29, USIH   ,97, CASTRO ALVES  , VARM  ,0,1,-274.857, (1000$/hm3)    
29, USIH   ,98, MONTE CLARO   , VARM  ,0,1,-127.839, (1000$/hm3)    
29, USIH   ,99, 14 DE JULHO   , VARM  ,0,1,-62.009, (1000$/hm3)    
29, USIH   ,103, FOZ CHAPECO   , VARM  ,0,1,-90.229, (1000$/hm3)    
29, USIH   ,169, SOBRADINHO    , VARM  ,0,1,-247.423, (1000$/hm3)    
29, USIH   ,172, ITAPARICA     , VARM  ,0,1,-213.78, (1000$/hm3)    
29, USIH   ,173, MOXOTO        , VARM  ,0,1,-128.601, (1000$/hm3)    
29, USIH   ,174, P.AFONSO 123  , VARM  ,0,1,-92.14, (1000$/hm3)    
29, USIH   ,175, P.AFONSO 4    , VARM  ,0,1,-128.601, (1000$/hm3)    
29, USIH   ,178, XINGO         , VARM  ,0,1,75.002, (1000$/hm3)    
29, USIH   ,190, B. ESPERANCA  , VARM  ,0,1,-70.743, (1000$/hm3)    
29, USIH   ,189, P. CAVALO     , VARM  ,0,1,-163.583, (1000$/hm3)    
29, USIH   ,275, TUCURUI       , VARM  ,0,1,-104.378, (1000$/hm3)    
29, USIH   ,272, CURUA-UNA     , VARM  ,0,1,-30.374, (1000$/hm3)    
29, USIH   ,279, SAMUEL        , VARM  ,0,1,-50.815, (1000$/hm3)    
29, USIH   ,280, COARACY NUNE  , VARM  ,0,1,-67.703, (1000$/hm3)    
29, USIH   ,204, CACH.CALDEIR  , VARM  ,0,1,-95.785, (1000$/hm3)    
29, USIH   ,127, SOBRAGI       , VARM  ,0,1,-363.344, (1000$/hm3)    
29, USIH   ,126, PICADA        , VARM  ,0,1,-580.494, (1000$/hm3)    
29, USIH   ,283, STA CLARA MG  , VARM  ,0,1,-91.037, (1000$/hm3)    
29, USIH   ,261, LAJEADO       , VARM  ,0,1,-212.02, (1000$/hm3)    
29, USIH   ,48, PIRAJU        , VARM  ,0,1,-572.722, (1000$/hm3)    
